Lelystad;Flevoland;5806;378;7641
Leusden;Utrecht;5764;375;2906
Lisse;Zuid-Holland;5778;315;2253
Lochem;Gelderland;5767;443;3324
Loon op Zand;Noord-Brabant;5708;351;2296
Lopik;Utrecht;5747;341;1409
Loppersum;Groningen;5897;466;1014
Losser;Overijssel;5779;484;2246
Maassluis;Zuid-Holland;5742;293;3220
Maastricht;Limburg;5623;393;12239
Marum;Groningen;5876;433;1031
Medemblik;Noord-Holland;5835;353;4360
Meerssen;Zuid-Holland;5627;397;1906
Meppel;Drenthe;5827;428;3279
Moerdijk;Noord-Brabant;5716;319;3681
Montfoort;Utrecht;5755;342;1367
Muiden;Noord-Holland;5786;350;624
Naarden;Noord-Holland;5782;356;1720
Nederweert;Limburg;5671;397;1677
Neerijnen;Gelderland;5732;365;1203
Nieuwegein;Utrecht;5753;351;6126
Nieuwkoop;Zuid-Holland;5766;330;2711
Nijkerk;Gelderland;5774;379;4087
Nijmegen;Gelderland;5731;403;17068
Noordwijk;Zuid-Holland;5776;307;2560
Noordwijkerhout;Zuid-Holland;5778;310;1606
Nunspeet;Gelderland;5792;400;2674
Nuth;Limburg;5630;406;1549
Oegstgeest;Zuid-Holland;5770;309;2299
Oirschot;Noord-Brabant;5695;367;1807
Oisterwijk;Noord-Brabant;5703;359;2573
Oldebroek;Gelderland;5799;408;2300
Oldenzaal;Overijssel;5784;478;3212
Ommen;Overijssel;5808;444;1734
Oosterhout;Noord-Brabant;5710;336;5379
Oostzaan;Noord-Holland;5798;337;918
Opmeer;Noord-Holland;5828;341;1130
Oss;Noord-Brabant;5724;381;8979
Oud-Beijerland;Zuid-Holland;5730;305;2370
Oudewater;Utrecht;5753;336;992
Papendrecht;Zuid-Holland;5731;324;3218
Purmerend;Noord-Holland;5806;343;7961
Putten;Gelderland;5778;387;2437
Raalte;Overijssel;5793;433;3660
Renkum;Gelderland;5747;396;3140
Renswoude;Utrecht;5758;382;497
Rheden;Gelderland;5750;416;4362
Rhenen;Utrecht;5746;385;1930
Ridderkerk;Zuid-Holland;5736;318;4514
Roermond;Limburg;5660;415;5700
Roosendaal;Noord-Brabant;5698;308;7687
Rotterdam;Zuid-Holland;5741;310;62365
Rozendaal;Gelderland;5750;412;150
Rucphen;Noord-Brabant;5698;315;2223
Schagen;Noord-Holland;5837;331;4613
Scherpenzeel;Zuid-Holland;5758;379;952
Schiedam;Zuid-Holland;5741;303;7686
Schiermonnikoog;Friesland;5914;426;92
Schijndel;Noord-Brabant;5708;375;2354
Schinnen;Limburg;5633;406;1299
Simpelveld;Limburg;5621;413;1084
Sint Anthonis;Noord-Brabant;5708;406;1161
Sint-Michielsgestel;Noord-Brabant;5710;370;2839
Sint-Oedenrode;Noord-Brabant;5702;377;1793
Sliedrecht;Zuid-Holland;5730;330;2475
Slochteren;Groningen;5884;470;1558
Sluis;Zeeland;5673;234;2374
Soest;Utrecht;5769;365;4545
Someren;Noord-Brabant;5681;395;1869
Son en Breugel;Noord-Brabant;5696;379;1634
Stadskanaal;Groningen;5859;480;3261
Staphorst;Overijssel;5821;429;1642
Steenbergen;Noord-Brabant;5704;298;2363
Strijen;Zuid-Holland;5721;314;871
Ten Boer;Groningen;5891;462;745
Terneuzen;Zeeland;5675;265;5457
Tholen;Zeeland;5699;291;2544
Tiel;Gelderland;5737;375;4159
Tilburg;Noord-Brabant;5702;350;21164
Tubbergen;Overijssel;5795;469;2114
Tynaarlo;Friesland;5866;456;3257
Uden;Noord-Brabant;5712;388;4108
Uitgeest;Noord-Holland;5808;325;1329
Uithoorn;Noord-Holland;5777;333;2873
Urk;Flevoland;5823;388;1970
Utrecht;Utrecht;5760;353;33417
Vaals;Limburg;5614;415;969
Valkenswaard;Noord-Brabant;5678;376;3023
Veendam;Groningen;5864;474;2769
Veenendaal;Utrecht;5753;383;6344
Veere;Zeeland;5700;254;2192
Veghel;Noord-Brabant;5707;383;3775
Veldhoven;Noord-Brabant;5686;373;4416
Venlo;Limburg;5680;426;10053
Venray;Limburg;5697;413;4320
Vianen;Utrecht;5748;352;1963
Vlaardingen;Zuid-Holland;5741;300;7164
Vlagtwedde;Groningen;5863;491;1621
Vlieland;Friesland;5893;350;110
Vlissingen;Zeeland;5690;247;4448
Voerendaal;Limburg;5625;410;1239
Voorschoten;Zuid-Holland;5764;307;2515
Voorst;Gelderland;5769;424;2391
Vught;Noord-Brabant;5711;365;2585
Waalre;Noord-Brabant;5683;377;1687
Waalwijk;Noord-Brabant;5715;350;4671
Waddinxveen;Zuid-Holland;5755;321;2565
Wageningen;Gelderland;5747;391;3778
Wassenaar;Zuid-Holland;5765;303;2573
Weert;Limburg;5667;394;4891
Weesp;Noord-Holland;5784;348;1834
Werkendam;Noord-Brabant;5728;338;2645
Westervoort;Gelderland;5745;413;1499
Wierden;Overijssel;5789;455;2387
Wijchen;Gelderland;5729;396;4088
Wijk bij Duurstede;Utrecht;5747;369;2322
Winsum;Groningen;5897;450;1377
Winterswijk;Gelderland;5747;464;2897
Woensdrecht;Noord-Brabant;5687;297;2164
Woerden;Utrecht;5754;337;5063
Woudenberg;Utrecht;5759;375;1248
Woudrichem;Noord-Brabant;5729;345;1438
Zaltbommel;Gelderland;5728;362;2735
Zandvoort;Noord-Holland;5791;313;1669
Zeewolde;Utrecht;5787;381;2189
Zeist;Utrecht;5760;362;6164
Zevenaar;Gelderland;5742;419;3226
Zoetermeer;Zuid-Holland;5756;311;12402
Zoeterwoude;Zuid-Holland;5764;311;811
Zuidhorn;Groningen;5888;442;1873
Zundert;Noord-Brabant;5691;322;2136
Zutphen;Gelderland;5765;429;4684
Zwijndrecht;Zuid-Holland;5730;320;4450
Zwolle;Overijssel;5807;421;12386
